Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,CA,Total Electric Power Industry,Coal,439,358
2003,CA,Total Electric Power Industry,Geothermal,"2,717.00","1,896.00"
2003,CA,Total Electric Power Industry,Hydroelectric,"9,953.00","9,947.00"
2003,CA,Total Electric Power Industry,Natural Gas,"36,310.00","33,290.00"
2003,CA,Total Electric Power Industry,Nuclear,"4,554.00","4,324.00"
2003,CA,Total Electric Power Industry,Other,23,17
2003,CA,Total Electric Power Industry,Other Biomass,429,369
2003,CA,Total Electric Power Industry,Other Gases,272,225
2003,CA,Total Electric Power Industry,Petroleum,977,824
2003,CA,Total Electric Power Industry,Pumped Storage,"3,353.00","3,688.00"
2003,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,396,390
2003,CA,Total Electric Power Industry,Wind,"1,943.00","1,910.00"
2003,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,692,613
2003,CO,"Combined Heat and Power, Commercial Power",All Sources,33,31
2003,CO,"Combined Heat and Power, Commercial Power",Natural Gas,33,31
2003,CO,"Combined Heat and Power, Electric Power",All Sources,758,624
2003,CO,"Combined Heat and Power, Electric Power",Coal,35,40
2003,CO,"Combined Heat and Power, Electric Power",Natural Gas,707,574
2003,CO,"Combined Heat and Power, Electric Power",Other Biomass,15,10
2003,CO,"Combined Heat and Power, Industrial Power",All Sources,17,14
2003,CO,"Combined Heat and Power, Industrial Power",Natural Gas,13,12
2003,CO,"Combined Heat and Power, Industrial Power",Petroleum,3,2
2003,CO,"Electric Generators, Electric Utilities",All Sources,"8,416.00","7,883.00"
2003,CO,"Electric Generators, Electric Utilities",Coal,"5,273.00","4,891.00"
2003,CO,"Electric Generators, Electric Utilities",Hydroelectric,592,601
2003,CO,"Electric Generators, Electric Utilities",Natural Gas,"1,787.00","1,612.00"
2003,CO,"Electric Generators, Electric Utilities",Petroleum,232,193
2003,CO,"Electric Generators, Electric Utilities",Pumped Storage,509,563
2003,CO,"Electric Generators, Electric Utilities",Wind,24,24
2003,CO,"Electric Generators, Independent Power Producers",All Sources,"2,371.00","1,817.00"
2003,CO,"Electric Generators, Independent Power Producers",Hydroelectric,45,38
2003,CO,"Electric Generators, Independent Power Producers",Natural Gas,"2,130.00","1,604.00"
