"Existing Nameplate and Net Summer Capacity by Energy Source, Producer Type and State, 2003-2023",,,,,
Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,CA,"Electric Generators, Independent Power Producers",Other Gases,8.0,6.0
2003,CA,"Electric Generators, Independent Power Producers",Petroleum,509.0,432.0
2003,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,394.0,388.0
2003,CA,"Electric Generators, Independent Power Producers",Wind,"1,930.0","1,897.0"
2003,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,445.0,383.0
2003,CA,Total Electric Power Industry,All Sources,"62,059.0","57,850.0"
2003,CA,Total Electric Power Industry,Coal,439.0,358.0
2003,CA,Total Electric Power Industry,Geothermal,"2,717.0","1,896.0"
2003,CA,Total Electric Power Industry,Hydroelectric,"9,953.0","9,947.0"
2003,CA,Total Electric Power Industry,Natural Gas,"36,310.0","33,290.0"
2003,CA,Total Electric Power Industry,Nuclear,"4,554.0","4,324.0"
2003,CA,Total Electric Power Industry,Other,23.0,17.0
2003,CA,Total Electric Power Industry,Other Biomass,429.0,369.0
2003,CA,Total Electric Power Industry,Other Gases,272.0,225.0
2003,CA,Total Electric Power Industry,Petroleum,977.0,824.0
2003,CA,Total Electric Power Industry,Pumped Storage,"3,353.0","3,688.0"
2003,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,396.0,390.0
2003,CA,Total Electric Power Industry,Wind,"1,943.0","1,910.0"
2003,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,692.0,613.0
2003,CO,"Combined Heat and Power, Commercial Power",All Sources,33.0,31.0
2003,CO,"Combined Heat and Power, Commercial Power",Natural Gas,33.0,31.0
2003,CO,"Combined Heat and Power, Electric Power",All Sources,758.0,624.0
2003,CO,"Combined Heat and Power, Electric Power",Coal,35.0,40.0
2003,CO,"Combined Heat and Power, Electric Power",Natural Gas,707.0,574.0
2003,CO,"Combined Heat and Power, Electric Power",Other Biomass,15.0,10.0
2003,CO,"Combined Heat and Power, Industrial Power",All Sources,17.0,14.0
2003,CO,"Combined Heat and Power, Industrial Power",Natural Gas,13.0,12.0
2003,CO,"Combined Heat and Power, Industrial Power",Petroleum,3.0,2.0
2003,CO,"Electric Generators, Electric Utilities",All Sources,"8,416.0","7,883.0"
2003,CO,"Electric Generators, Electric Utilities",Coal,"5,273.0","4,891.0"
2003,CO,"Electric Generators, Electric Utilities",Hydroelectric,592.0,601.0
2003,CO,"Electric Generators, Electric Utilities",Natural Gas,"1,787.0","1,612.0"
2003,CO,"Electric Generators, Electric Utilities",Petroleum,232.0,193.0
2003,CO,"Electric Generators, Electric Utilities",Pumped Storage,509.0,563.0
2003,CO,"Electric Generators, Electric Utilities",Wind,24.0,24.0
2003,CO,"Electric Generators, Independent Power Producers",All Sources,"2,371.0","1,817.0"
2003,CO,"Electric Generators, Independent Power Producers",Hydroelectric,45.0,38.0
2003,CO,"Electric Generators, Independent Power Producers",Natural Gas,"2,130.0","1,604.0"
2003,CO,"Electric Generators, Independent Power Producers",Wind,197.0,175.0
2003,CO,Total Electric Power Industry,All Sources,"11,594.0","10,370.0"
2003,CO,Total Electric Power Industry,Coal,"5,309.0","4,931.0"
2003,CO,Total Electric Power Industry,Hydroelectric,636.0,639.0
2003,CO,Total Electric Power Industry,Natural Gas,"4,670.0","3,833.0"
2003,CO,Total Electric Power Industry,Other Biomass,15.0,10.0
2003,CO,Total Electric Power Industry,Petroleum,235.0,195.0
2003,CO,Total Electric Power Industry,Pumped Storage,509.0,563.0
2003,CO,Total Electric Power Industry,Wind,221.0,199.0
2003,CT,"Combined Heat and Power, Commercial Power",All Sources,10.0,8.0
2003,CT,"Combined Heat and Power, Commercial Power",Natural Gas,10.0,8.0
2003,CT,"Combined Heat and Power, Electric Power",All Sources,348.0,289.0
2003,CT,"Combined Heat and Power, Electric Power",Coal,214.0,181.0
2003,CT,"Combined Heat and Power, Electric Power",Natural Gas,134.0,108.0
2003,CT,"Combined Heat and Power, Industrial Power",All Sources,81.0,72.0
2003,CT,"Combined Heat and Power, Industrial Power",Natural Gas,78.0,70.0
2003,CT,"Combined Heat and Power, Industrial Power",Other,3.0,1.0
2003,CT,"Electric Generators, Electric Utilities",All Sources,234.0,210.0
